                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88271,                 1.4044,                 1.2367,                0.99931,                      1,                  0.995,                0.85844,                0.53433,                 1.3049,                0.94886,             0.00066055,             0.00066055,             0.00066055
                      2,                0.66869,                0.75317,                 1.0655,                0.99895,                0.99655,                  0.995,                0.82836,                0.68359,                0.63659,                0.98737,              0.0013141,              0.0013141,              0.0013141
                      3,                0.67748,                0.63283,                 1.0633,                0.99894,                      1,                  0.995,                0.86103,                0.59834,                0.45117,                0.93377,              0.0019544,              0.0019544,              0.0019544
                      4,                 0.6346,                 0.5338,                 1.0386,                0.95897,                0.97241,                0.99227,                0.89424,                0.48711,                 0.7812,                 0.9046,              0.0019406,              0.0019406,              0.0019406
                      5,                0.60152,                0.49391,                 1.0276,                      1,                0.99569,                  0.995,                0.92333,                0.35652,                0.38748,                0.81869,              0.0019406,              0.0019406,              0.0019406
                      6,                0.58247,                0.46534,                 1.0141,                 0.9771,                0.98621,                0.98872,                0.91712,                0.43264,                0.47665,                  0.844,              0.0019208,              0.0019208,              0.0019208
                      7,                0.55115,                0.43451,                0.99931,                0.99978,                      1,                  0.995,                0.89843,                0.48483,                0.28975,                0.84334,               0.001901,               0.001901,               0.001901
                      8,                0.53076,                 0.4095,                0.98911,                0.99959,                      1,                  0.995,                0.92326,                0.36813,                 0.2656,                0.80008,              0.0018812,              0.0018812,              0.0018812
                      9,                0.52829,                0.40734,                0.99166,                0.99924,                      1,                  0.995,                0.90801,                0.42919,                0.30645,                0.80815,              0.0018614,              0.0018614,              0.0018614
                     10,                0.50585,                0.38652,                0.97881,                 0.9999,                      1,                  0.995,                0.91572,                0.39026,                0.23871,                0.79712,              0.0018416,              0.0018416,              0.0018416
                     11,                0.49423,                0.38161,                0.97574,                0.99979,                      1,                  0.995,                0.92185,                0.38047,                0.22678,                0.81847,              0.0018218,              0.0018218,              0.0018218
                     12,                0.48821,                0.37143,                0.97927,                0.99969,                      1,                  0.995,                0.92013,                0.38971,                0.23799,                0.80536,               0.001802,               0.001802,               0.001802
                     13,                0.47082,                0.34901,                0.96676,                0.99965,                      1,                  0.995,                0.92256,                0.36765,                0.22057,                0.79382,              0.0017822,              0.0017822,              0.0017822
                     14,                0.46737,                0.35401,                0.96503,                0.99745,                      1,                  0.995,                0.94315,                0.32879,                 0.2536,                0.79763,              0.0017624,              0.0017624,              0.0017624
                     15,                0.46279,                0.34842,                0.96148,                0.99965,                      1,                  0.995,                 0.9547,                0.32018,                 0.2248,                0.78148,              0.0017426,              0.0017426,              0.0017426
                     16,                0.44203,                0.33566,                0.95525,                 0.9998,                      1,                  0.995,                0.93619,                0.36741,                0.21852,                0.79263,              0.0017228,              0.0017228,              0.0017228
                     17,                0.43375,                0.32893,                0.94951,                0.99979,                      1,                  0.995,                0.97145,                0.27099,                0.19382,                0.77008,               0.001703,               0.001703,               0.001703
                     18,                0.43586,                0.33279,                0.96006,                0.99953,                      1,                  0.995,                0.96555,                0.27948,                0.20143,                0.77926,              0.0016832,              0.0016832,              0.0016832
                     19,                0.43291,                0.33036,                0.95658,                 0.9998,                      1,                  0.995,                0.96818,                0.28734,                0.19671,                0.78315,              0.0016634,              0.0016634,              0.0016634
                     20,                0.42276,                0.31049,                0.94674,                 0.9998,                      1,                  0.995,                0.98632,                 0.2448,                 0.1743,                0.76879,              0.0016436,              0.0016436,              0.0016436
                     21,                0.40932,                0.30871,                 0.9442,                 0.9998,                      1,                  0.995,                0.96761,                0.29328,                0.17804,                 0.7779,              0.0016238,              0.0016238,              0.0016238
                     22,                0.40846,                0.30328,                0.93692,                 0.9998,                      1,                  0.995,                 0.9612,                0.31552,                0.17187,                0.77567,               0.001604,               0.001604,               0.001604
                     23,                0.39203,                0.29802,                0.93229,                 0.9998,                      1,                  0.995,                 0.9897,                0.21644,                0.19289,                0.75963,              0.0015842,              0.0015842,              0.0015842
                     24,                0.38294,                0.29415,                0.92901,                0.99959,                      1,                  0.995,                0.98298,                0.21974,                0.17514,                0.75685,              0.0015644,              0.0015644,              0.0015644
                     25,                0.39168,                0.29133,                 0.9354,                0.99981,                      1,                  0.995,                0.96706,                0.27303,                0.17978,                0.76664,              0.0015446,              0.0015446,              0.0015446
                     26,                0.39002,                0.29144,                0.93086,                 0.9998,                      1,                  0.995,                0.97305,                0.28466,                0.18241,                0.76924,              0.0015248,              0.0015248,              0.0015248
                     27,                0.39435,                0.29316,                0.93352,                0.99964,                      1,                  0.995,                0.98868,                0.22468,                0.15612,                0.75743,               0.001505,               0.001505,               0.001505
                     28,                0.37818,                 0.2787,                0.93128,                0.99978,                      1,                  0.995,                0.98477,                0.22383,                0.16371,                0.75944,              0.0014852,              0.0014852,              0.0014852
                     29,                0.37999,                0.28642,                0.93418,                 0.9998,                      1,                  0.995,                0.98861,                0.21347,                0.16386,                0.75352,              0.0014654,              0.0014654,              0.0014654
                     30,                0.36031,                0.27263,                0.92348,                0.99982,                      1,                  0.995,                0.99189,                0.21442,                0.15543,                0.75583,              0.0014456,              0.0014456,              0.0014456
                     31,                0.38186,                0.27718,                0.93103,                0.99917,                      1,                  0.995,                0.98982,                0.22307,                0.17062,                0.75353,              0.0014258,              0.0014258,              0.0014258
                     32,                0.36372,                0.27681,                0.92674,                0.99981,                      1,                  0.995,                0.95829,                0.29306,                0.19244,                 0.7743,               0.001406,               0.001406,               0.001406
                     33,                0.36461,                0.27536,                0.92264,                0.99981,                      1,                  0.995,                0.99266,                 0.2262,                0.14769,                0.75395,              0.0013862,              0.0013862,              0.0013862
                     34,                0.37424,                0.27909,                0.93051,                0.99978,                      1,                  0.995,                0.95772,                0.30444,                0.18999,                0.78242,              0.0013664,              0.0013664,              0.0013664
                     35,                0.35378,                0.26502,                0.91809,                0.99978,                      1,                  0.995,                0.99353,                0.20041,                0.14383,                  0.748,              0.0013466,              0.0013466,              0.0013466
                     36,                0.34747,                0.26097,                0.91846,                0.99981,                      1,                  0.995,                0.99341,                0.16745,                0.13627,                0.74359,              0.0013268,              0.0013268,              0.0013268
                     37,                0.35511,                0.26311,                  0.921,                0.99982,                      1,                  0.995,                0.98557,                0.26948,                 0.1526,                0.76538,               0.001307,               0.001307,               0.001307
                     38,                0.35416,                0.25667,                0.92311,                0.99981,                      1,                  0.995,                 0.9892,                0.23762,                0.16054,                0.75618,              0.0012872,              0.0012872,              0.0012872
                     39,                0.35889,                0.26199,                0.92602,                0.99981,                      1,                  0.995,                0.99389,                0.20062,                 0.1515,                0.75688,              0.0012674,              0.0012674,              0.0012674
                     40,                0.36117,                0.27531,                0.92395,                0.99981,                      1,                  0.995,                0.99396,                0.17276,                0.13843,                0.74606,              0.0012476,              0.0012476,              0.0012476
                     41,                0.35588,                0.26347,                0.92203,                0.99981,                      1,                  0.995,                0.99379,                0.19903,                0.14761,                0.75369,              0.0012278,              0.0012278,              0.0012278
                     42,                0.33226,                0.24933,                0.91922,                0.99977,                      1,                  0.995,                0.99305,                0.19891,                0.14616,                 0.7458,               0.001208,               0.001208,               0.001208
                     43,                0.34112,                0.25514,                0.91666,                0.99942,                      1,                  0.995,                0.99478,                0.19382,                0.14641,                0.74455,              0.0011882,              0.0011882,              0.0011882
                     44,                0.34872,                0.26256,                0.92396,                0.99981,                      1,                  0.995,                0.99334,                0.19238,                 0.1401,                0.75113,              0.0011684,              0.0011684,              0.0011684
                     45,                0.33236,                0.24912,                0.91087,                0.99981,                      1,                  0.995,                0.99191,                0.21338,                0.13467,                0.74826,              0.0011486,              0.0011486,              0.0011486
                     46,                0.33425,                 0.2499,                0.91322,                0.99981,                      1,                  0.995,                0.98535,                0.23981,                0.14688,                0.75048,              0.0011288,              0.0011288,              0.0011288
                     47,                0.33139,                0.24118,                0.90921,                0.99981,                      1,                  0.995,                0.99399,                0.18272,                0.13099,                0.74751,               0.001109,               0.001109,               0.001109
                     48,                0.31725,                0.23868,                0.90694,                 0.9998,                      1,                  0.995,                  0.995,                0.15611,                0.12739,                0.74179,              0.0010892,              0.0010892,              0.0010892
                     49,                0.32142,                0.23958,                 0.9108,                0.99981,                      1,                  0.995,                0.99355,                0.17626,                0.13112,                0.74341,              0.0010694,              0.0010694,              0.0010694
                     50,                0.30921,                0.23465,                0.90395,                0.99981,                      1,                  0.995,                 0.9905,                0.20389,                0.14516,                0.75418,              0.0010496,              0.0010496,              0.0010496
                     51,                0.32099,                0.23386,                0.90641,                0.99976,                      1,                  0.995,                0.99498,                 0.1573,                 0.1221,                0.74362,              0.0010298,              0.0010298,              0.0010298
                     52,                0.30994,                0.23046,                0.90738,                0.99981,                      1,                  0.995,                0.99329,                0.17782,                 0.1233,                0.74467,                0.00101,                0.00101,                0.00101
                     53,                0.31528,                0.24134,                0.91135,                0.99981,                      1,                  0.995,                0.99474,                0.18835,                0.13416,                0.74466,              0.0009902,              0.0009902,              0.0009902
                     54,                0.30906,                0.22941,                0.90353,                0.99982,                      1,                  0.995,                0.99409,                0.17117,                0.13186,                0.74425,              0.0009704,              0.0009704,              0.0009704
                     55,                0.31718,                0.23388,                0.90849,                0.99981,                      1,                  0.995,                0.99341,                0.19633,                0.13474,                0.75388,              0.0009506,              0.0009506,              0.0009506
                     56,                0.30762,                0.23476,                0.90951,                0.99981,                      1,                  0.995,                0.99488,                0.16587,                 0.1195,                0.74325,              0.0009308,              0.0009308,              0.0009308
                     57,                0.29941,                0.22628,                0.89998,                0.99981,                      1,                  0.995,                 0.9942,                0.18212,                0.11862,                0.74235,               0.000911,               0.000911,               0.000911
                     58,                0.30609,                0.23013,                0.90791,                0.99982,                      1,                  0.995,                0.99377,                0.21102,                0.13404,                  0.752,              0.0008912,              0.0008912,              0.0008912
                     59,                0.30028,                0.22708,                0.90034,                0.99982,                      1,                  0.995,                  0.995,                0.13699,                0.11042,                 0.7376,              0.0008714,              0.0008714,              0.0008714
                     60,                0.29832,                0.22538,                0.90348,                0.99981,                      1,                  0.995,                 0.9943,                0.17004,                0.12107,                0.74032,              0.0008516,              0.0008516,              0.0008516
                     61,                0.29825,                0.22477,                0.90631,                0.99973,                      1,                  0.995,                0.99393,                0.18514,                0.12324,                 0.7446,              0.0008318,              0.0008318,              0.0008318
                     62,                0.30064,                0.22376,                0.90318,                0.99981,                      1,                  0.995,                0.99392,                0.19756,                  0.137,                0.74838,               0.000812,               0.000812,               0.000812
                     63,                0.29677,                0.22299,                0.90451,                0.99982,                      1,                  0.995,                  0.995,                0.14473,                0.10685,                0.73783,              0.0007922,              0.0007922,              0.0007922
                     64,                0.30013,                0.22114,                0.90179,                0.99982,                      1,                  0.995,                0.99441,                0.15833,                0.10889,                 0.7397,              0.0007724,              0.0007724,              0.0007724
                     65,                0.28274,                0.21066,                0.89524,                 0.9998,                      1,                  0.995,                  0.995,                0.14173,                0.11251,                0.73768,              0.0007526,              0.0007526,              0.0007526
                     66,                0.28507,                0.21304,                0.89529,                 0.9998,                      1,                  0.995,                0.99488,                 0.1553,                0.11322,                0.74042,              0.0007328,              0.0007328,              0.0007328
                     67,                 0.2847,                0.21518,                0.89944,                0.99979,                      1,                  0.995,                  0.995,                0.16194,                 0.1109,                0.74006,               0.000713,               0.000713,               0.000713
                     68,                0.28418,                0.21452,                0.89708,                0.99981,                      1,                  0.995,                0.99496,                0.14983,                0.10249,                0.73714,              0.0006932,              0.0006932,              0.0006932
                     69,                 0.2751,                0.20836,                0.89967,                0.99972,                      1,                  0.995,                0.99476,                0.17133,                0.10939,                0.74224,              0.0006734,              0.0006734,              0.0006734
                     70,                0.27952,                0.20913,                 0.8934,                0.99982,                      1,                  0.995,                  0.995,                0.15193,                0.10518,                0.73848,              0.0006536,              0.0006536,              0.0006536
                     71,                0.29021,                0.21271,                0.90246,                0.99982,                      1,                  0.995,                  0.995,                0.13691,                    0.1,                0.73542,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.2769,                0.20623,                0.89697,                0.99982,                      1,                  0.995,                  0.995,                0.14409,                0.09995,                0.73734,               0.000614,               0.000614,               0.000614
                     73,                0.27825,                0.20507,                0.89889,                0.99982,                      1,                  0.995,                  0.995,                0.15661,                0.10075,                0.73889,              0.0005942,              0.0005942,              0.0005942
                     74,                0.27522,                 0.2002,                 0.8967,                0.99982,                      1,                  0.995,                0.99474,                0.15325,                0.10315,                0.73748,              0.0005744,              0.0005744,              0.0005744
                     75,                0.26934,                0.20601,                0.89442,                0.99982,                      1,                  0.995,                0.99499,                0.15245,                0.10049,                0.73743,              0.0005546,              0.0005546,              0.0005546
                     76,                0.27463,                0.20712,                0.90153,                0.99981,                      1,                  0.995,                  0.995,                0.14828,                0.10016,                0.73718,              0.0005348,              0.0005348,              0.0005348
                     77,                0.26623,                0.19686,                0.89335,                0.99982,                      1,                  0.995,                  0.995,                0.12579,                0.09737,                0.73495,               0.000515,               0.000515,               0.000515
                     78,                0.26576,                 0.2002,                0.89524,                0.99981,                      1,                  0.995,                  0.995,                0.14805,                 0.0991,                0.73682,              0.0004952,              0.0004952,              0.0004952
                     79,                0.26566,                0.19964,                0.89261,                0.99982,                      1,                  0.995,                  0.995,                0.11954,                0.08578,                0.73357,              0.0004754,              0.0004754,              0.0004754
                     80,                 0.2598,                0.19036,                0.89227,                0.99982,                      1,                  0.995,                  0.995,                0.13561,                0.08952,                0.73478,              0.0004556,              0.0004556,              0.0004556
                     81,                0.26484,                0.19687,                0.88881,                0.99982,                      1,                  0.995,                  0.995,                0.13029,                0.09115,                0.73623,              0.0004358,              0.0004358,              0.0004358
                     82,                0.25448,                0.19356,                0.88676,                0.99981,                      1,                  0.995,                  0.995,                0.14633,                0.09706,                0.73703,               0.000416,               0.000416,               0.000416
                     83,                0.25455,                0.19121,                 0.8864,                0.99981,                      1,                  0.995,                  0.995,                0.13849,                 0.0977,                0.73507,              0.0003962,              0.0003962,              0.0003962
                     84,                0.26201,                 0.1964,                0.89215,                0.99979,                      1,                  0.995,                  0.995,                0.13186,                0.09318,                0.73406,              0.0003764,              0.0003764,              0.0003764
                     85,                0.25486,                0.18971,                0.88655,                0.99981,                      1,                  0.995,                  0.995,                0.13764,                0.09305,                 0.7357,              0.0003566,              0.0003566,              0.0003566
                     86,                0.25375,                0.19133,                0.88616,                0.99982,                      1,                  0.995,                  0.995,                0.13459,                0.09203,                0.73647,              0.0003368,              0.0003368,              0.0003368
                     87,                0.25139,                0.19131,                0.88555,                0.99982,                      1,                  0.995,                  0.995,                0.15067,                0.09639,                0.73854,               0.000317,               0.000317,               0.000317
                     88,                0.25696,                0.19486,                0.89084,                0.99982,                      1,                  0.995,                  0.995,                0.12665,                0.10166,                0.73543,              0.0002972,              0.0002972,              0.0002972
                     89,                0.24125,                0.18425,                0.88464,                0.99982,                      1,                  0.995,                  0.995,                0.14434,                0.10205,                0.73779,              0.0002774,              0.0002774,              0.0002774
                     90,                0.24497,                0.18865,                0.88614,                0.99982,                      1,                  0.995,                  0.995,                0.14003,                0.09128,                0.73581,              0.0002576,              0.0002576,              0.0002576
                     91,                 0.1132,                 0.1098,                0.80066,                0.99979,                      1,                  0.995,                  0.995,                0.12177,                0.09737,                0.73259,              0.0002378,              0.0002378,              0.0002378
                     92,                 0.1068,                0.10365,                0.79765,                0.99982,                      1,                  0.995,                  0.995,                0.13451,                0.09943,                0.73393,               0.000218,               0.000218,               0.000218
                     93,                0.10552,                0.09679,                0.79201,                0.99982,                      1,                  0.995,                  0.995,                0.12606,                0.08947,                0.73227,              0.0001982,              0.0001982,              0.0001982
                     94,                0.10585,                0.09357,                0.79446,                0.99982,                      1,                  0.995,                  0.995,                0.13138,                 0.0907,                0.73244,              0.0001784,              0.0001784,              0.0001784
                     95,                0.10063,                0.09143,                0.79991,                0.99982,                      1,                  0.995,                  0.995,                0.12847,                0.09306,                 0.7333,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.0968,                0.09071,                0.79445,                0.99981,                      1,                  0.995,                  0.995,                0.11482,                0.08044,                0.73112,              0.0001388,              0.0001388,              0.0001388
                     97,                0.09805,                0.08872,                0.79592,                 0.9998,                      1,                  0.995,                  0.995,                0.12402,                0.08439,                0.73247,               0.000119,               0.000119,               0.000119
                     98,                0.09318,                 0.0847,                0.79176,                0.99982,                      1,                  0.995,                  0.995,                0.11299,                0.08168,                0.73039,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.09196,                0.08223,                 0.7959,                0.99982,                      1,                  0.995,                  0.995,                0.12133,                0.08272,                0.73111,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.09233,                0.08369,                 0.7891,                0.99978,                      1,                  0.995,                  0.995,                0.12052,                0.08035,                0.73115,               5.96e-05,               5.96e-05,               5.96e-05
