                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88271,                 1.4044,                 1.2367,                0.99931,                      1,                  0.995,                0.85844,                0.53433,                 1.3049,                0.94886,             0.00066055,             0.00066055,             0.00066055
                      2,                0.66695,                 0.7551,                 1.0684,                0.97966,                0.99656,                0.99451,                0.87424,                0.51461,                0.61968,                0.92784,              0.0012615,              0.0012615,              0.0012615
                      3,                0.66545,                0.62821,                 1.0618,                 0.9773,                      1,                0.99426,                0.83062,                0.59565,                0.61755,                0.94714,              0.0017965,              0.0017965,              0.0017965
                      4,                0.61453,                0.51346,                 1.0301,                0.99932,                0.99655,                  0.995,                0.89215,                0.43554,                0.39646,                0.86461,               0.001703,               0.001703,               0.001703
                      5,                0.59855,                0.48789,                 1.0307,                      1,                0.99956,                  0.995,                0.87828,                0.53589,                0.37884,                 0.9129,               0.001703,               0.001703,               0.001703
                      6,                0.55207,                0.44434,                0.99856,                0.99976,                      1,                  0.995,                0.88411,                0.50949,                 0.3693,                0.87031,               0.001604,               0.001604,               0.001604
                      7,                0.52786,                0.41524,                0.99005,                0.99973,                      1,                  0.995,                0.91598,                 0.4113,                0.24594,                 0.8169,               0.001505,               0.001505,               0.001505
                      8,                0.48321,                0.38204,                0.97303,                0.99932,                      1,                  0.995,                0.91939,                0.37439,                0.24173,                0.80454,               0.001406,               0.001406,               0.001406
                      9,                0.49131,                0.38038,                0.97515,                0.99973,                      1,                  0.995,                0.94421,                0.33088,                0.24582,                0.78639,               0.001307,               0.001307,               0.001307
                     10,                0.46179,                0.34953,                0.96099,                 0.9998,                      1,                  0.995,                0.92524,                0.36478,                0.21698,                0.78907,               0.001208,               0.001208,               0.001208
                     11,                0.24067,                0.22082,                0.84011,                0.99833,                      1,                  0.995,                 0.9516,                0.34998,                0.22513,                0.79138,               0.001109,               0.001109,               0.001109
                     12,                0.21724,                0.20172,                0.83546,                0.99975,                      1,                  0.995,                0.98142,                0.24233,                0.19025,                0.75981,                0.00101,                0.00101,                0.00101
                     13,                 0.2044,                0.18786,                0.83038,                0.99944,                      1,                  0.995,                0.97025,                0.29732,                0.18228,                0.77102,               0.000911,               0.000911,               0.000911
                     14,                0.19974,                0.18513,                0.82204,                0.99982,                      1,                  0.995,                0.98475,                0.25645,                 0.1723,                0.76578,               0.000812,               0.000812,               0.000812
                     15,                0.18181,                0.17184,                0.82106,                0.99981,                      1,                  0.995,                0.98981,                0.23512,                0.15482,                0.75862,               0.000713,               0.000713,               0.000713
                     16,                0.16459,                0.15645,                0.81919,                0.99979,                      1,                  0.995,                0.98747,                 0.2446,                0.15387,                0.75769,               0.000614,               0.000614,               0.000614
                     17,                0.15625,                0.14689,                0.81539,                0.99981,                      1,                  0.995,                0.98069,                0.26918,                0.15741,                0.75727,               0.000515,               0.000515,               0.000515
                     18,                0.14664,                 0.1354,                0.80155,                0.99982,                      1,                  0.995,                0.98927,                0.24852,                0.16263,                0.75266,               0.000416,               0.000416,               0.000416
                     19,                0.14429,                0.13209,                0.80832,                0.99981,                      1,                  0.995,                0.99359,                0.18223,                 0.1329,                0.73964,               0.000317,               0.000317,               0.000317
                     20,                0.12594,                0.12148,                 0.8009,                0.99981,                      1,                  0.995,                0.99449,                0.19947,                 0.1212,                0.74851,               0.000218,               0.000218,               0.000218
